scene,model,model_key,nominal_macro_f1,minus_drop_pp,plus_drop_pp,mean_directional_drop_pp,worst_direction_drop_pp,analysis_role,nominal_rank,mean_loss_reliability_rank,worst_loss_reliability_rank
LongKou,Linear,linear,0.760617912479646,1.7772412878985542,2.7901936915075143,2.2837174897030343,2.7901936915075143,post_hoc_descriptive,6,1,1
LongKou,MLP,mlp,0.8731131102810584,9.421632951718781,15.883213689045585,12.652423320382184,15.883213689045585,post_hoc_descriptive,4,5,6
LongKou,CNN-1D,cnn1d,0.8639938587215708,9.784953433460593,15.580789633486024,12.682871533473309,15.580789633486024,post_hoc_descriptive,5,6,5
LongKou,SSCNN-3x3,sscnn3x3,0.913471069872742,3.347145670459257,4.7535846517084135,4.050365161083835,4.7535846517084135,post_hoc_descriptive,2,3,2
LongKou,SSResNet-3x3,ssresnet3x3,0.9297733537499212,13.81446537358095,9.577766444966423,11.696115909273686,13.81446537358095,post_hoc_descriptive,1,4,4
LongKou,SpectralFormer-3x3,spectralformer3x3,0.8978991721588914,0.9316481808021582,6.892184422322847,3.9119163015625027,6.892184422322847,post_hoc_descriptive,3,2,3
HanChuan,Linear,linear,0.5311868151957617,2.68425418633129,5.212856307889797,3.9485552471105434,5.212856307889797,post_hoc_descriptive,6,2,2
HanChuan,MLP,mlp,0.6919441785316266,5.4422697657881285,5.07300393720544,5.257636851496784,5.4422697657881285,post_hoc_descriptive,4,3,3
HanChuan,CNN-1D,cnn1d,0.6710481275096105,5.787016364051982,9.214009429815004,7.500512896933493,9.214009429815004,post_hoc_descriptive,5,5,5
HanChuan,SSCNN-3x3,sscnn3x3,0.7583294189219986,5.883895037279367,7.420371968671864,6.652133502975616,7.420371968671864,post_hoc_descriptive,1,4,4
HanChuan,SSResNet-3x3,ssresnet3x3,0.7377953148299785,9.92645509088094,9.547943020918161,9.737199055899552,9.92645509088094,post_hoc_descriptive,2,6,6
HanChuan,SpectralFormer-3x3,spectralformer3x3,0.7286509493934243,3.8348952104567524,3.4778824402237256,3.656388825340239,3.8348952104567524,post_hoc_descriptive,3,1,1
HongHu,Linear,linear,0.550952708186803,10.179469450656365,7.392854507780771,8.786161979218567,10.179469450656365,post_hoc_descriptive,6,3,2
HongHu,MLP,mlp,0.6164055385622694,11.384816412151759,5.63275549367565,8.508785952913705,11.384816412151759,post_hoc_descriptive,4,2,3
HongHu,CNN-1D,cnn1d,0.5998184759485408,6.495506339892378,7.66078229301298,7.078144316452679,7.66078229301298,post_hoc_descriptive,5,1,1
HongHu,SSCNN-3x3,sscnn3x3,0.7066405365694027,20.552619033820868,15.61156826747634,18.082093650648602,20.552619033820868,post_hoc_descriptive,2,5,5
HongHu,SSResNet-3x3,ssresnet3x3,0.7269548031753525,25.2026385355312,17.895350282321818,21.54899440892651,25.2026385355312,post_hoc_descriptive,1,6,6
HongHu,SpectralFormer-3x3,spectralformer3x3,0.6943049018252696,16.148918746263032,14.99382114544054,15.571369945851785,16.148918746263032,post_hoc_descriptive,3,4,4
